question,answer
سؤال 320--, شخصي بيست سال قبل سرقفلي مغازه اي را به مبلغ صد هزار تومان خريده و خمس آن را پرداخته است اينك آن را به مبلغ پانزده ميليون تومان فروخته، با توجّه به تورم و پايين آمدن ارزش پول آيا خمس به آن تعلّق مي گيرد؟جواب:
سؤال 321--, مردم بلتستان براي مؤونه خودشان درخت مثمر و غير مثمر مي كارند و بعد از رسيدن زمان قطع درخت غير مثمر شاخه هاي آن را قطع مي كنند و براي مؤونه خودشان و عيالات و … استفاده مي كنند و اصلش را مي گذارند باز همين طور دو سال سه سال و گاهي بيشتر از اين مي ماند بعد شاخه ها را باز قطع مي كنند و خرج مي كنند و از ميوه درخت مثمر براي مخارج استفاده مي كنند آيا بر اينها خمس تعلّق مي گيرد و بنابر تعلّق به چه كيفيت بايد ادا شود؟جواب:
سؤال 322--, مردم بلتستان حيوانات را هم براي مؤونه نگهداري مي كنند و اگر حيوانات در خانه نباشند بري زراعت كود لازم است و شير و روغن و گوشت براي خوردن و مو و پشم آنها براي لباس و فرش و غيره استفاده مي كنند و هكذا لوازمات خانه را عموماً از حيوانات تهيّه مي كنند آيا اين حيوانات خمس دارند؟ و اگردارند طريقش را بيان فرماييد.جواب:
سؤال 323--, ابتداي عمل، چه درخت باشد و چه حيوان، قصد تجارت ندارد بلكه قصد مؤونه دارد و گاهي نه قصد مؤونه دارد و نه قصد تجارت بلكه مطلق مي گذارد و بعد از به دست آوردن ثمره و رشد و … هم تجارت و هم در خرج مؤونه استعمال مي كنند اينجا درباره خمس چه حكم مي فرماييد؟جواب:
سؤال 324--, طلّاب در حال تحصيل در حوزه علميّه كتابهاي تاريخي و … آنچه لوازم خودشان هست مي خرند و اگر نخرند بعداً نمي توانند تهيّه كنند يا مثلا خيليگران مي شود به هر حال بعداً مشكلاتي به وجود مي آيد لذا حتّي الإمكان كوشش مي كنند كه ارزانتر بخرند امّا همه را الآن نمي توانند مطالعه كنند لااقل يك سال يا دو سال بدون مطالعه مي ماند، آيا خمس دارد؟ اگر دارد قيمت زمان خريد را حساب كند يا قيمت روز را؟جواب:
سؤال 325--, در بعضي مناطق سردسير به علّت كمبود نفت و مانند آن، از هيزم استفاده مي كنند به همين منظور درختاني مي كارند كه از شاخه هاي آنها براي سوخت استفاده كنند مردم اين مناطق خمس هيزمهايي كه از سال اضافه مي آيد را مي پردازند آيا اين كار صحيح است؟جواب:
سؤال 326--, طلبه اي از پدرش خانه اي را به ارث برده است كه متعلّق خمس است در حالي كه اين طلبه قادر به پرداخت خمس نيست و بدهكار نيز هست چه كاركند كه تصرّفش در اين خانه جايز باشد؟جواب:
سؤال 327--, زميني در حدود سي سال قبل جهت تأمين مسكن مجّاناً به گروهي از فرهنگيان واگذار شد، ولي چون موقعيّت زمين مذكور جهت تهيه مسكن تا سالها بعد اجازه نمي داد كه در آن ساختمان مسكوني به وجود آيد ناچار پس از چندين سال اقدام به خريد منزل نموده اند اكنون زمين مذكور چنانچه به فروش برسد يا تبديل به ساختمان شود وجهي كه از بابت فروش زمين مذكور عايد مي گردد مشمول پرداخت خمس مي گردد؟جواب:
سؤال 328--, كسي كه سال خمس او در پايان اسفند ماه بوده است اگر در نيمهاسفند فوت كرد آيا بر وجوه باقيمانده وي كه به عنوان ارث باقيمانده و مربوط به يازده ماه و نيم (5/ 11 ماه)، سال قبل مي باشد خمس تعلق مي گيرد؟ و همچنين اين مرحومه قالي كهنه خود را تبديل به يك قاليچه به قيمت (25000 تومان) نموده بوده كه زير پا انداخته نشده آيا به قيمت اين فرش خمس تعلّق مي گيرد؟جواب:
سؤال 329--, اگر ميّتي تعداد 171 رأس گوسفند داشته باشد آيا خمس به آنها تعلّق مي گيرد يا زكات؟ در صورتي كه گوسفند سرمايه ميّت بوده است؟جواب:
سؤال 330--, در منطقه ما بعضي از خانواده ها داراي حدود 100 الي 200 رأس گوسفند هستند كه به وسيله آنها امرار معاش مي كنند مستدعي است صورت هاي مسأله را در رابطه با خمس اين گوسفندان بيان فرماييد؟جواب:
سؤال 331--, اگر كاسبي در سال گذشته يك تن آلومينيوم به ارزش سيصد و پنجاه هزار تومان سرمايه اش بوده و خمس آن را حساب كرده و پرداخته باشد، ولي اكنون ارزش هر تن آلومينيوم حدود يك ميليون تومان است در صورتي كه مقدار تغيير نكرده است ولي قيمت آن ششصد و پنجاه هزار تومان بيشتر از سال قبل است با توجّه به اينكه سودي در كار نيست و اين كار اگر دو يا سه سال تكرار شود ديگر سرمايه اي باقي نمي ماند كه كاسب بتواند كار خود را ادامه دهد.الف) نظر جنابعالي در اين مورد چيست؟ب) اگر كسي يك پنجم اصل سرمايه را (نه قيمت آن را) به صورت خمس بدهد سال بعد مي تواند مقدار را ملاك قرار دهد؟جواب:
سؤال 332--, مبناي سال خمس كارمند اوّلين حقوق دريافتي است يا زمان ديگر، سال شمسي مورد نظر است يا قمري؟جواب:
سؤال 333--, آيا مردم مي توانندمالياتي كه به دولت اسلامي پرداخت مي نمايند را بابت خمس حساب نمايند؟جواب:
سؤال 334--, خانه مسكوني را كه زماني با مقدار كم خريده ام اكنون قيمت آن زياده شده است آيا مازاد قيمت آن خمس دارد؟جواب:
سؤال 335--, از طرف بنياد شهيد حقوقي به خانواده محترم شهدا پرداخت مي شود و عدّه اي از خانواده ها هزينه زندگيشان از سوي ديگر تأمين مي شود سؤال اين است كه به اين حقوقي كه از بنياد مي گيرند خمس تعلق مي گيرد؟جواب:
سؤال 336--, در شهر ما اكثر خانمها قالي باف هستند و در كنار خانه داري فرش نيز مي بافند ولي معمولا خريد لوازم فرش و همچنين فروش فرش و تصرّف در پولش به عهده شوهر است و از آنجا كه بافتن اين فرشها چند سال طول مي كشد تا تمامشود افراد سر سال خود چگونه حساب كنند؟ و اگر بعد از چند سال كه فروخت و موقع وصول پول آن در سال بعد باشد بفرماييد جزء درآمد سالي كه پول را وصول مي كند حساب مي شود يا به مجرّد اين كه پول را وصول كرد بايد خمس آن را پرداخت كند؟جواب:
سؤال 337--, اين جانب بدون داشتن خانه شخصي رنج مي برم و بدون وام قدرت خريد خانه ندارم فلذا با دريافت وام دولتي (و ياشخصي) خانه اي خريده ام با اين حال اوّل اين كه در مبدأ سال خمسي كه دارم به مازاد بر مايحتاج كه خواهم داشت خمس تعلق مي گيرد يا نه و دوّم اين كه به هنگام پرداخت اقساط بانكي و يا شخصي تخميس قسطها را واجب مي دانيد؟جواب:
سؤال 338--, كساني كه تاكنون خمس نداده اند آيا تنها پول نقد آنها محاسبه مي شود يا ضروريات زندگي نيز محاسبه مي شود و يا بايد مصالحه شود؟جواب:
سؤال 339--, اگر ارثيه اي را كه متعلّق خمس نيست بفروشند و تبديل به نقد كنند آيا بعد از تبديل مشمول خمس خواهد بود؟جواب:
سؤال 340--, آنچه بعضي از فقها (رضوان اللّه عليهم) از جمله امام (قدس سرّه) فرموده اند كه در هديه خمس نيست آيا تمليك هاي كلان اعمّ از زمين و خانه و مغازه و اتومبيل ورا نيز شامل مي شود و يا آنها حساب ديگري دارند؟جواب:
سؤال 341--, آيا تعيين سال روز خمسي اختصاص به مردها دارد كه به عنوان نان آور و مدير خانواده هستند و يا زنان خانه داري كه تحت سرپرستي مردها به سر مي برند و عايدات جزئي و محقر دارند را نيز شامل مي شود؟ اگر عايدات آنها نيز متعلّق خمس باشد آيا كيفيت تخميس اموال آنان با مردان متفاوت است يا نه (توضيح اينكه گويا بعضي از آقايان گفته اند زن شوهرداربايد به محض دريافت تخميس كند)؟جواب:
سؤال 342--, شخصي به طور متناوب از درآمدش كه مخلوط از نقد و نسيه و ارثيّه و احياناً مخلوطي هم از پول حرام است براي خود خانه مسكوني و اثاثيه آن را فراهم كرده و از ابتداي تكليف تا اين ساعت تصفيه حساب خمس نكرده است و حال مي خواهد تصفيه كند آيا به اين خانه و اثاثيّه آن خمس تعلّق مي گيرد و يا جزء مئونه سال و مستثناست مضافاً اينكه فرضاً خمس تعلّق بگيرد تخميني حدود يك ميليون بدهكار مي شود و از عهده پرداخت آن (چه فعلا و چه به تدريج) عاجز است چون درآمدي بسيار كم دارد با اين وضع آيا مي تواند با حاكم شرع و يا نماينده او به مبلغي كه قادر به پرداخت باشد مصالحه كند؟جواب:
سؤال 343--, حقير در خريدوفروش عمده سبزي و باربري با يك ماشين با چند نفر شريك هستم يكي از آنها برادرم هست كه در پرداخت خمس كوتاهي مي كندايشان تصميم به اين كار دارد حتّي يك بار هم انجام داده ولي فعلا چند سال است كه خمس نداده است موقعيّت ما هم طوري است كه كنار زدن او از شراكت نه از نظر فاميلي و نه از نظر وضع شغلي در محل به صلاح ما نيست تكليف من چيست؟جواب:
سؤال 344--, اين جانب ملك موروثي پدري را فروخته و جهت تحصيل فرزندانم در شهر، منزلي خريداري نموده ام آيا به پول به دست آمده از فروش ملك ارث پدري خمس تعلّق مي گيرد و در صورت تعلّق، آيا مجاز هستم به صوت اقساط بپردازم؟جواب:
سؤال 345--, كسي كه خود را در معرض خطر دشمنانش مي بيند آيا مي تواند از سهم امام (عليه السلام) و ساير وجوهات شرعيّه اسلحه و ابزار جنگي تهيّه نمايد؟جواب:
سؤال 346--, تبديل وجه خمس به اجناس ديگر از قبيل پوشاك و وسايل زندگي و دادن آنها به سادات چگونه است به ويژه هنگامي كه سيّد از پذيرفتن سهم سادات جداً ناراحت مي شود؟سؤال 347- آيا سيادت از طريق مادر به فرزندان او منتقل مي شود؟جواب:
سؤال 348--, آيا سيّد غني كه مجتهد يا نماينده حاكم شرع نيست مي تواند صرفاً به عنوان سيادت خويش در مواردي كه پيش مي آيد، با فقراي مؤمنين دستگردان و امهال نمايد؟جواب:
سؤال 349--, آيا لازم است كه هر مقلّدي خمس اموالش را به مرجع تقليد خودش بدهد؟جواب:
سؤال 350--, صرف سهم امام در زيارات چگونه است؟جواب:
سؤال 351--, آيا طلّاب مي توانند از سهم امام (عليه السلام) استفاده كنند؟جواب:
سؤال 352--, اگر ميّتي مديون باشد و خمس نيز بدهكار باشد و تركه، وافي به هر دو نباشد ورثه كدام را مقدّم كنند؟جواب:
سؤال 353--, آيا تغيير زمان حساب سال جايز است؟جواب:
سؤال 354--, اگر سيادت شخصي از طريق خبر دادن يكي از علماي انساب ثابت شود و عدّه زيادي از علما به وثاقت و خبره بودن و عدالت آن عالم شهادت بدهند آيا قول آن عالم حجّت است؟جواب:
سؤال 355--, آيا اجازه حاكم شرع در مصرف سهم امام (عليه السلام) و سادات لازم است؟جواب:
سؤال 356--, الف) اگر شخصي به ديگري كه مستحقّ خمس است مقداري پول به عنوان سهم امام (عليه السلام) بدهد كه چيز معيني بخرد ولي آن شخص اين پول را صرف خريد چيز مهمتري كه ارزانتر است مي كند آيا اين كار جايز است؟ب) اگر شخصي بر اثر شرم و خجالت به نام شخص ديگري طلب سهم امام كند و خود مصرف كند چه حكمي دارد؟جواب:
سؤال 357--, حكم گنجي كه افراد در زمين خود پيدا مي كنند چيست؟جواب:
سؤال 358--, آيا صِرف نيّت باعث جداسازي اموال و پولهايي كه خمس آنها داده شده از غير آنها مي شود؟ به هر حال راه جداسازي چيست؟ مخصوصاً اگر در صندوقي يا بانكي باشد.جواب:
سؤال 359--, به طوري كه مي دانيم فقهاي اسلام در اصل خمس اتفاق نظر دارند، ولي در موارد و مصارف آن اختلاف است، فقهاي اهل سنّت مورد خمس را منحصر به غنايم جنگي دانسته اند ولي فقهاي اماميه به سودها و بازيافتهاتعميم داده اند، سؤال اين است كه آيا از فقها و علماي طراز اوّل هر دو مذهب كسي يا كساني هستند كه نظر طرف مقابل را داشته باشند؟جواب:
سؤال 360--, كسي كه حساب سالانه جهت تعيين خمس قرار داده باشد و به منازل كساني كه وجوه شرعي خود را نمي پردازند به ميهماني برود و از غذاي آنها استفاده كند يا با آب منزل آنها وضو بگيرد و در منزل آنها نماز به جا آورد چه صورتي دارد؟جواب:
سؤال 361--, آيا پرداخت عشريّه، ريشه اسلامي دارد كفايت از خمس مي كند؟جواب:
سؤال 362--, آيا كسي كه در خانه پدري زندگي مي كند بايد خمس بدهد؟جواب:
سؤال 363--, آيا بر جنگلها حكم ملك، جاري مي شود و مي توان مسأله ارث، وقف، اجاره و … را بر آن مترتّب كرد؟جواب:
سؤال 364--, طبق ظاهر آيات و روايات، انفال شامل همهدشتها و كوهها و جنگلها و درياها و … در سراسر جهان است؛ امّا در شرايط فعلي كه مرزهاي جغرافيايي بين المللي مورد قبول همه حكومتهاست آيا انفال هم به اين مرزبنديها محدود مي شود؟جواب:
سؤال 365--, مقدار زكات گندم آبي و حد نصاب آن را بيان فرماييد.جواب:
سؤال 366--, معيار قيمت بذري كه از حاصل كسر مي شود چه زماني است؟ روز بذرافشاني يا روز برداشت محصول؟جواب:
سؤال 367--, فقير به چه كسي گفته مي شود؟جواب:
سؤال 368--, اگر شخصي هنگام غروب شب عيد فطر بيهوش باشد آيا زكات فطره از او ساقط است؟جواب:
سؤال 369--, زكات فطره سربازي كه نانخور دولت است بر عهده چه كسي است؟جواب:
سؤال 370--, آيا پرداخت ماليات در نظام جمهوري اسلامي از وجوه شرعيّه كفايت مي كند؟جواب:
سؤال 371--, آيا كارگران كشاورزي كه سهمي از زراعت را به عنوان حق الزّحمه مي گيرند، موظّف به دادن زكات هستند؟جواب:
سؤال 372--, به جز نه مورد زكات آيا موارد ديگري نيز مشمول آن مي گردد؟جواب:
سؤال 373--, شخصي زكات نمي دهد، آيا پسرش مي تواند بدون اينكه پدر بفهمد مقدار زكات را جدا كند و به مستحق برساند؟جواب:
سؤال 374--, شخصي مستطيع است ولي چون ثبت نام نكرده، استطاعت رفتن به حج را نداشته است ولي اكنون به نيابت از پدرش- كه ثبت نام كرده بود و فوت كرده- عازم حج است، آيا اين نيابت صحيح است؟جواب:
سؤال 375--, خدمه اي كه در كاروان به حج مي روند با توجّه به عدم استطاعت مالي خود، حج را چگونه انجام دهند آيا بايد نيّت واجب كنند؟جواب:
سؤال 376--, آيا شخصي كه به منزل شخصي احتياج دارد مستطيع مي شود؟جواب:
سؤال 377--, مهريه خانمي چند برابر استطاعت اوست آيا بعد از فوت زن بر ورثه لازم است كه قبل از تقسيم تركه مخارج حج را كسر كنند؟جواب:
سؤال 378--, در سفر حج، سازمان حج و زيارت از زن مستطيعه اجازه رسمي شوهرش را مي خواهند و شوهرش اجازه نمي دهد، حال زن چه بايد بكند؟جواب:
سؤال 379--, كسي پنج سال پيش مثلا مستطيع بوده و در ثبت نام حج شركت كرده، ولي الآن فقير شده آيا حج بر چنين شخصي واجب است؟ و اگر سيّد باشد مي شود از خمس آل محمّد (صلي الله عليه و آله) به او داد تا به مكّه برود؟جواب:
سؤال 380--, شخصي حدود ده سال قبل براي حجّ بيت الله الحرام ثبت نام نموده ليكن در سال 66به رحمت ايزدي پيوست امسال نوبت حجّ آن مرحوم رسيده است مستدعي است تكليف ورثه و بري شدن ذمّه آن مرحوم را بيان فرماييد از طرف ديگر تصرّف در اين وجه چگونه است؟جواب:
سؤال 381--, اگر خانمي قبل از ازدواج نذر كرده باشد كه حجّي بجا آورد و بعد از آن ازدواج كند، آيا بازهم جهت انجام فريضه حج اجازه شوهر لازم است؟ و آيا شوهر حقّ ممانعت دارد؟جواب:
سؤال 382--, تمام مخارج حج را شوهرم بر عهده گرفته است، ولي مي دانم كه اهل خمس نيست و من از خود مالي ندارم، تكليف من در ارتباط با هزينه رفت و برگشت، ارز، لباس احرامي و قرباني چيست؟ خمس اينها بر عهده كيست؟جواب:
سؤال 383--, اگر زني نياز به همراه داشته باشد و همراه هم مزد مي گيرد و او توانايي پرداخت مزد را ندارد آيا مستطيعه است؟جواب:
سؤال 384--, شخصي در حج اجير كس ديگري بوده است، بعد از انجام عمره تمتع، به سكته قلبي دچار شده و از برگزاري اعمال حج معذور گرديد و به ايران مراجعت كرده است و در سال آينده مي خواهد مشرّف شود، آيا اعلام اين وضعيت به اولياي منوبٌعنه و اجازه مجدّد به نيابت از منوبٌ عنه در سال آينده لازم است؟جواب:
سؤال 385--, در صورتي كه كسي بر تهيه فيش حج به قيمت آزاد قدرت داشته باشد ولي اين قيمت با نرخ متعارف خيلي متفاوت باشد و مستلزم به تأخير افتادن نوبت ديگران شود، آيا حج بر او واجب است؟جواب:
سؤال 386--, آيا خانمي كه به لحاظ مالي و بدني و راه مستطيع است ولي طفل شيرخواري دارد كه با غير او آرام نمي گيرد مستطيع است؟جواب:
سؤال 387--, كسي كه بي سواد است و نماز او چندان كامل نيست يعني خوب ياد نگرفته، در عين حال الآن به نيابت از پدر مرحومش به حج مي رود آيا حج او درست است؟جواب:
سؤال 388--, كسي كه خود مستطيع نيست ولي پدرش ثبت نام كرده و الآن فوت كرده فيش بانكي او را به نام خود كرده و به نيابت او حج انجام مي دهد مخارج اعمال بعدي از جمله فراهم كردن ارز به عهده كيست؟ آيا از ثلث مال او مي تواند بگيرد؟جواب:
سؤال 389--, پدري چند فرزند دارد و تمام اموال خود را به دو تن از فرزندانش به عنوان مصالحه داده است ولي شرط كرده كه بعد از مرگ از طرف وي كسي را حدّ اكثر ظرف چهار سال براي اداي حَجّة الاسلام بفرستند، فرزند او طبق شرط عمل كرده و در سال چهارم كسي را براي حج از بلد خويش روانه كرده است ولي اين نايب وقتي به شهر ديگر رسيد خودش نرفت و كسي ديگر را براي حجّ ميقاتي فرستاد و حجّ ميقاتي انجام گرفته است در حالي كه فرزندان اين ميّت از اين جريان خبر نداشتند (ناگفته نماند كه حجّ ميقاتي براي مردم آنجا شناخته شده نيست و ازنيابت براي حجّ بلدي انصراف دارد) سؤال اين است كه:الف) آيا نايب، حقّ نايب ساختن شخص دوّم را دارد؟ب) آيا حجّ انجام گرفته از طرف ميّت صحيح است و ميّت بري ء الذّمّه شده است؟ج) حكم مصالحه چيست؟د) آيا به شرط عمل شده؟ زيرا فرزندان ديگر ميّت، مدعي هستند كه به شرط عمل نشده است لذا بايد ماترك به عنوان ارث بين ورثهتقسيم شود.جواب:
سؤال 390--, مردي براي انجام حج وصيّت كرده است، آيا دختر و يا همسر او هم مي توانند به نيابت از او حج بجا آورند؟جواب:
سؤال 391--, پيرزني هستم كه توانايي انجام اعمال حج را به علت كهولت سن ندارم با اين كه مستطيعه هستم، آيا مي توانم در حال حيات كسي را به نيابت خود به حج بفرستم و حال آن كه اميد بهبود در آينده نيز ندارم؟جواب:
سؤال 392--, زني هستم كه نيابتاً به حج مشرف شده ام آيا نذر احرام قبل از ميقات براي من جايز است؟جواب:
سؤال 393--, زني كه روز دهم و يازدهم و دوازدهم قادر به رمي جمرات نيست، وليمي تواند شبها رمي جمره نمايد و يا در روز سيزدهم قضاي هر سه روز را به جا آورد آيا مي تواند از طرف كسي نايب شود؟ و در صورت امكان آيا همه صور مذكوره يكسانند و يا آن كه فرق دارند؟جواب:
سؤال 394--, آيا زن به نيابت از ديگري مي تواند نماز طواف بخواند؟جواب:
سؤال 395--, كسي كه نماز او چندان كامل نيست اگر براي خود يا به نيابت از كسي به حج برودآيا در انجام نماز طواف مي تواند ديگري را نايب كند؟جواب:
سؤال 396--, اگر شخصي قبل از درست شدن خدمه گري به نيابت از كسي به انجام حج پذيرفته شده باشد و بعداً مسأله خدمه گري درست شود حج را براي چه كسي انجام دهد؟ همچنين كسي كه مستطيع نيست ولي به عنوان كمك كار كسي به حج مي رود؟جواب:
سؤال 397--, فقها مي گويند كسي كه چندين سال بعد از استطاعت يا در اوّلين سال استطاعت به مكّه مشرف شده و بعد از دخول در محدوده حرم فوت شده نيابت براي او لازم نيست. حال اگر بعد از تمام كردن عمره تمتّع از دنيا برود هم نيابت لازم نيست؟جواب:
سؤال 398--, آيا نايب حقّ نايب گرفتن دارد و در صورت انجام اين عمل آيا ميّت بري ء الذّمّه مي شود؟جواب:
سؤال 399--, اگر مرديكه مي تواند در روز رمي كند براي رمي زني نايب شود آيا مي تواند رمي زن را در شب انجام دهد؟جواب:
سؤال 400--, اگر زني كه نيابت را پذيرفته، نيز خوف حيض يا مرض داشته باشد آيا مي تواند اعمال حج را بر وقوفين و اعمال مني مقدّم بدارد؟جواب:
سؤال 401--, كسي كه حجّ نيابتي انجام مي دهد علاوه بر طواف نساء كه براي منوبٌ عنه به جا مي آورد آيا واجب است كه براي خود نيز طواف نساء انجام دهد؟جواب:
سؤال 402--, آيا صرورۀ (يعني كسي كه تا كنون به حجّ مشرف نشده است) مي تواند نايب شود، مرد باشد يا زن از طرف مرد باشد يا از طرف زن؟جواب:
سؤال 403--, آيا در حال احرام، پوشيدن لباسهايي كه براي تزيين، قسمتهايي از آن توردوزي يا گلدوزي شده براي زنها جايز است؟ و آيا مقنعه جزء لباس مي باشد؟جواب:
سؤال 404--, اگر لباس احرامي زنان به قدري نازك باشد كه بدن آنها نمايان گردد، آيا به اعمال حج آنان ضرري مي رساند؟جواب:
سؤال 405--, آيا مي توان پوستهاي زايد كه از لبها يا كنار ناخن ها برآمده است را از بدن جدا كرد؟جواب:
سؤال 406--, زني كه در پشت ناخن و انگشتهاي او لاك چسبيدهو با اين كيفيّت اعمال حج را بجا آورده و نمي دانسته كه اين رنگ لاك مانع براي وضو و غسل مي باشد آيا اعمال او صحيح است و چنانچه پس از انجام اعمال حج متوجّه شود چه وظيفه اي دارد؟جواب:
سؤال 407--, آيا سوار شدن بر ماشين سقف دار در شب به حج يا عمره ضرري وارد مي كند و كفّاره دارد؟جواب:
سؤال 408--, اين جانب به علّت قطع بودن نخاع و عدم كنترل بول و … نمي توانم بدن و لباس احرام خود را پاك نگهدارم، وظيفه ام چيست؟جواب:
سؤال 409--, اگر جامه احرام را از پول خمس يا زكات نداده خريده باشند آيا احرام در آن صحيح است؟جواب:
سؤال 410--, آيا زنها در حال احرام مي توانند جوراب بپوشند يا بايستي روي پاي آنان مثل مردان باز باشد؟جواب:
سؤال 411--, در موسم حج يك نفر از كاركنان گروه حج همراه زنها به عنوان راهنما در روز با ماشين مسقّف به مكّه مي رود آيا كفّاره لازم است؟جواب:
سؤال 412--, آيا احرام عمره تمتّع از شهر جدّه جايز است؟جواب:
سؤال 413--, بعد از اعمال عمره تمتّع، كاركنان كاروان حج براي تعيين چادر و بردن آذوقه حجّاج چند دفعه بدون احرام حجّ تمتّع به عرفات و مني رفت و آمد مي كنند، حكمشان را بيان فرماييد؟جواب:
سؤال 414--, طبق فتواي مراجعي كه فرموده اند احتياطاً زنان هم مثل مردان محرم شوند، آيا زن بعد از پوشيدن حوله هاي احرام مي تواند حوله ها را كنار بگذارد و با لباس معمولي خودش اعمال حجّ را انجام دهد؟جواب:
سؤال 415--, حجّاجي كه فعلا از ايران براي عمره مفرده مي روند با ماشين مسقّف مي روند و در بين راه براي نماز و غذا چند مرتبه سوار و پياده مي شوند، آيا يك كفّاره كافي است يا براي هر دفعه كه پياده و سوار مي شوند كفّاره لازم است؟جواب:
سؤال 416--, حجّاجي كه اوّل شب در مسجد شجره يا جحفه محرم شده و شبانه واردمكّه مي شوند، آيا مي توانند با ماشين سرپوشيده مشرّف شوند؟جواب:
سؤال 417--, آيا استفاده از دست و پاي مصنوعي كه با چرمهاي دوخته شده به بدن مي بندند، در حال احرام كفّاره دارد؟جواب:
سؤال 418--, در مناسك حضرتعالي، قطع شجر حرم، جزء محرّمات احرام ذكر نشده است، آيا اين مسأله از محرمات احرام نيست؟جواب:
سؤال 419--, آيا بلند گفتن تلبيه توسط بانوان به گونه اي كه مرد نامحرم بشنود جايز است؟جواب:
سؤال 420--, آيا پوشاندن قسمتي از صورت براي زن نيز حكم تمام آن را دارد؟جواب:
سؤال 421--, آيا احرام در كفش دوخته شده كه پشت پا را نگيرد جايز است؟جواب:
سؤال 422--, اگر بچّه هاي كوچك در حال طواف يا سعي به خواب روند يا در حال طواف نوزاد در قنداقه خود بول كند چه حكمي دارد؟جواب:
سؤال 423--, در موسم حج كاركنان مسجد الحرام، اشخاص پير و مريض را با سرير روي سرشان طواف مي دهند و نوعاً در بيرون دايره طواف كنندگان حركت مي كنند آيا حجّ اينها صحيح است؟جواب:
سؤال 424--,كسي كه ختنه او به طور ناقص انجام شده و با اين حال حج به جا آورده تكليف او چيست؟جواب:
سؤال 426--, نسبت به اينكه زن مي تواند طواف را مقدّم بدارد آيا صرف شك در وقوع طواف در ايّام حيض كفايت مي كند يا اينكه بايد احتمال قوي بدهد كه عادت مي شود؟جواب:
سؤال 427--, تكليف زن مضطربه در طواف چيست؟جواب:
سؤال 428--, شخصي با علم به حرمت تماس با بدن زن در حين طواف از روي شهوت با بدن زني تماس حاصل مي نمايد از اين تماس متلذّذ مي گردد،آيا طواف او اشكال پيدا مي كند؟ تكليف او چيست؟ آيا طواف مستحبّي با واجب فرق دارد؟جواب:
سؤال 429--, حكم كسي كه طوافش قطع شده يا طوافش را براي نماز واجب قطع كرده است؛ در دو صورت تجاوز از نصف طواف و قبل از تجاوز چيست؟جواب:
سؤال 430--, شخصي بعد از اتمام اعمال حجّ تمتّع، متوجه شده كه يك غسل مسّ ميّت بر او واجب بوده و غسل واجب ديگري هم انجام نداده است، آيا حجّش صحيح است؟جواب:
سؤال 431--, شخصي در عمره مفرده يا عمره تمتّع بعد از تقصير از احرام خارج شده است و بعد از چند روز قبل از احرام دوّم متوجّه شده در طواف و نمازش طهارت نداشته، آيا بايد دوباره لباس احرام بپوشد يا اعاده طواف و نماز آن با لباس معمولي جايز است؟جواب:
سؤال 432--, آيا براي كسي كه نيّت احرام حج كرده و نيّت او محقق شده است، جايز است كه طواف مستحبّي انجام دهد؟جواب:
سؤال 433--, آيا مطاف حتماً بايد در حدّ بيت و مقام ابراهيم باشد يا در حال غير اضطرار هم مي توان در خارج حدّ، طواف نمود؟جواب:
سؤال 434--, با توجّه به اينكه همراه خود كيسه مخصوص بول دارم و چون با حركت بدن بول خارج مي گردد براي طواف و نماز طواف چه كنم؟جواب:
سؤال 435--, نسبت به اعمالي كه زن در حال تقديم طواف انجام مي دهد آيا فقط طواف مقدّم مي شود يا طواف و سعي هر دو مقدّم مي شوند؟جواب:
سؤال 436--, در مسأله نيابت در نماز طواف آيا فرقي بين كسي كه مي تواند قرائتش را به تدريج تصحيح كند بين كسي كه اصلا قدرت بر تصحيح ندارد هست؟جواب:
سؤال 437--, مختون بودن انسان در طواف شرط است بنابراين اگر انساني را ختنه كرده باشند به طوري كه ختنه اشناقص است به اين معنا كه حشفه اش كاملا در نيامده و مقدار كمي در آمده است و در حال نعوظ كاملا در مي آيد، آيا اين شخص مختون محسوب و طوافش صحيح خواهد بود؟ اگر مختون محسوب نشود و ختنه نمودن بر آن شخص بار ديگر براي طواف لازم باشد و آن شخص به علّت سن زياد از ختنه نمودن خجالت بكشد، نسبت به طوافش چه وظيفه اي دارد؟جواب:
سؤال 438--, زن و شوهري به مكّه رفتند و مناسك حج را بجا آوردند، لكن چون زن شوهرش را نمي خواست طواف نساء و نماز آن را بجا نياورد و شوهر هم اين طواف و نماز را ترك كرده و به وطن خود برگشته اند اكنون وظيفه آن زن از نظر محرميّت و بودنش در خانه شوهر چيست؟جواب:
سؤال 439--, اگر كسي طواف نساء را در حج بجا نياورد زن بر او حرام مي شود، آيا مقصود فقط مقاربت است و يا ساير استمتاعات نيز حرام خواهد بود و اگراولادي به وجود آيد حلال زاده است يا نه، ارث مي برد يا نمي برد؟جواب:
سؤال 440--, كسي كه طواف نساء را انجام نداده و در اين حال عقد ازدواج بسته است، آيا عقد او صحيح است؟جواب:
سؤال 441--, در اثر كثرت ازدحام، مقام حضرت ابراهيم (عليه السلام) در موسم حج وسط طواف كنندگان قرار مي گيرد، اگر كسي آنجا نماز طواف واجب بخواند مشكل و ديگران اعتراض مي كنند، آيا تا آخر مسجد الحرام پشت مقام ابراهيم مي تواند نماز بخواند؟جواب:
